data_source,outcome_clean,transform_label,control_label,model,mean_att,median_att,sd_att,mean_se,bias,rejection_rate,n_sims
SHR,1849,Raw,Econ+Crime+DV,imputation,-0.0797019579021404,-0.0843557083136044,0.201959261262351,0.134536949164845,-0.0797019579021404,0.075,200
SHR,1849,IHS,Econ+Crime+DV,cs,0.104225854650112,0.116976061409599,0.128663291428578,0.126225591995402,0.104225854650112,0.01,200
SHR,1849,IHS,Econ+Crime+DV,imputation,-0.0759071655524835,-0.0530439851924035,0.201864515398793,0.134145142980509,-0.0759071655524835,0.04,200
SHR,dv_1849,Raw,None,cs,-0.0254482942937438,-0.0272225470492065,0.036725396377918,0.0908535679995864,-0.0254482942937438,0,200
SHR,dv_1849,Raw,None,imputation,-0.0492746441934987,-0.0510488969489614,0.036725396377918,0.103210438792184,-0.0492746441934987,0,200
SHR,dv_1849,IHS,None,cs,-0.0220482241980185,-0.0250196959002144,0.0376704298076327,0.0905616716861981,-0.0220482241980185,0,200
SHR,dv_1849,IHS,None,imputation,-0.0458745740977734,-0.0488460457999693,0.0376704298076327,0.103192336559983,-0.0458745740977734,0,200
SHR,dv_1849,Raw,Econ+Crime,cs,-0.00662731394148918,-0.0099250877702033,0.04068056443733,0.0795226127825309,-0.00662731394148918,0.005,200
SHR,dv_1849,Raw,Econ+Crime,imputation,-0.00336685876467561,-0.00486547302581419,0.030607708781309,0.073445941572256,-0.00336685876467561,0.005,200
SHR,dv_1849,IHS,Econ+Crime,cs,-0.00539456089637766,-0.00955209902103954,0.0451364012619007,0.0797013644549664,-0.00539456089637766,0.015,200
SHR,dv_1849,IHS,Econ+Crime,imputation,-0.00178362056601279,-0.00405005538956836,0.0340213980904103,0.0731903380440732,-0.00178362056601279,0,200
SHR,dv_1849,Raw,Econ+Crime+DV,cs,0.0230218547973953,0.0294927408091166,0.0551514312450444,0.0802182462463866,0.0230218547973953,0.005,200
SHR,dv_1849,Raw,Econ+Crime+DV,imputation,-0.110602825105188,-0.114222532388643,0.0712630459373765,0.0809232055239485,-0.110602825105188,0.11,200
SHR,dv_1849,IHS,Econ+Crime+DV,cs,0.0135293775141169,0.0212242198576215,0.0581619221578751,0.0797073816624974,0.0135293775141169,0.01,200
SHR,dv_1849,IHS,Econ+Crime+DV,imputation,-0.116440998998073,-0.110887828303815,0.0751567439329714,0.0809306505826205,-0.116440998998073,0.15,200
